CALC-PI,EXCEPTION_PABORT,EXCEPTION_DABORT,EXCEPTION_IRQ,EXCEPTION_FIQ,EXCEPTION_SMC,EXCEPTION_HVC
300000,2,2,6,0,0,0
300000,0,0,6,0,0,0
300000,0,0,4,0,0,0
300000,0,0,4,0,0,0
300000,0,0,6,0,0,0
300000,0,0,6,0,0,0
600000,2,2,12,0,0,0
600000,0,0,10,0,0,0
600000,0,0,12,0,0,0
600000,0,0,10,0,0,0
600000,0,0,12,0,0,0
600000,0,0,10,0,0,0
1200000,2,2,20,0,0,0
1200000,0,0,22,0,0,0
1200000,0,0,20,0,0,0
1200000,0,0,20,0,0,0
1200000,0,0,22,0,0,0
1200000,0,0,22,0,0,0
2400000,2,2,42,0,0,0
2400000,0,0,44,0,0,0
2400000,0,0,44,0,0,0
2400000,0,0,44,0,0,0
2400000,0,0,44,0,0,0
2400000,0,0,44,0,0,0
4800000,2,2,154,0,0,0
4800000,0,0,218,0,0,0
4800000,0,0,218,0,0,0
4800000,0,0,220,0,0,0
4800000,0,0,218,0,0,0
4800000,0,0,216,0,0,0
