CALC-PI,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_LOAD_STORE,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_VFP
300000,11906165,5952588,17858753,21265820,0,9600756
300000,10800780,5400249,16201029,17401313,0,9600804
300000,10800698,5400212,16200910,17401221,0,9600708
300000,10800696,5400199,16200895,17401190,0,9600732
300000,10800811,5400260,16201071,17401376,0,9600836
300000,10800737,5400215,16200952,17401221,0,9600750
600000,23787119,11165064,34952183,40265233,0,19200970
600000,21601009,10800350,32401359,34801689,0,19200978
600000,21600971,10800343,32401314,34801589,0,19200938
600000,21600918,10800322,32401240,34801528,0,19200914
600000,21600948,10800313,32401261,34801525,0,19200940
600000,21600909,10800302,32401211,34801514,0,19200898
1200000,47874513,22754175,70628688,81311308,0,38400868
1200000,43200928,21600330,64801258,69601559,0,38400880
1200000,43200877,21600283,64801160,69601507,0,38400866
1200000,43200815,21600269,64801084,69601462,0,38400844
1200000,43200863,21600289,64801152,69601433,0,38400893
1200000,43200854,21600288,64801142,69601477,0,38400874
2400000,91468373,44045306,135513679,151867643,0,76801198
2400000,86401181,43200451,129601632,139201982,0,76801152
2400000,86401176,43200445,129601621,139201948,0,76801130
2400000,86401309,43200501,129601810,139202103,0,76801232
2400000,86401239,43200489,129601728,139202057,0,76801212
2400000,86401279,43200488,129601767,139202071,0,76801202
4800000,178629451,89314195,267943646,298795531,0,153601928
4800000,172802015,86400862,259202877,278403211,0,153601884
4800000,172802145,86400876,259203021,278403376,0,153602046
4800000,172802017,86400836,259202853,278403280,0,153601912
4800000,172801953,86400841,259202794,278403050,0,153601888
4800000,172802593,86401101,259203694,278404209,0,153602470
