CALC-PRIME,L1D_INVALIDATE,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,L2D_CACHE_ACCESS,L2D_CACHE_REFILL,L2D_CACHE_WB
3000,34,257,17,1575,208,51
3000,58,181,10,762,13,3
3000,50,169,24,711,10,6
3000,30,168,20,695,15,5
3000,42,188,24,688,5,1
3000,42,172,20,723,9,4
6000,72,430,34,1891,198,54
6000,44,358,38,948,17,2
6000,54,351,48,891,10,6
6000,40,342,37,877,3,3
6000,84,329,40,982,10,5
6000,36,327,40,871,11,5
12000,60,966,92,2345,201,54
12000,38,798,99,1245,17,7
12000,0,807,85,1182,5,2
12000,136,853,96,1556,23,5
12000,248,881,112,1737,75,18
12000,78,842,101,2165,50,6
24000,156,1585,229,2647,208,55
24000,52,726,102,1133,8,5
24000,74,638,85,1099,10,7
24000,32,711,94,1044,4,3
24000,70,698,90,1047,20,10
24000,0,660,84,993,10,6
48000,80,1398,194,2648,350,123
48000,234,1354,170,1778,161,17
48000,262,3138,352,3359,41,8
48000,460,3319,380,3978,232,33
48000,156,2872,366,2990,41,6
48000,100,1369,164,1706,11,5
