DHRYSTONE,L1D_INVALIDATE,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,L2D_CACHE_ACCESS,L2D_CACHE_REFILL,L2D_CACHE_WB
60000,26,8511,9159,36530,232,60
60000,28,4901,4696,19608,17,3
60000,46,8607,238,18019,27,8
60000,46,3121,15030,36697,9,3
60000,36,2973,146,6548,6,0
60000,50,34368,348,69901,8,6
120000,66,36084,9576,92630,219,66
120000,60,74899,33290,217297,6,1
120000,28,67478,35668,207150,6,1
120000,46,107085,18732,252122,8,0
120000,48,62467,29364,184177,2,2
120000,80,57376,22718,160902,14,3
240000,64,86905,30837,237906,201,47
240000,56,39291,42964,166246,18,4
240000,34,73492,33950,216668,18,6
240000,58,66619,50368,235768,8,1
240000,48,61036,30098,184337,17,4
240000,94,243011,95456,679309,36,20
480000,110,226887,95396,645761,255,61
480000,60,227564,107854,671703,33,6
480000,84,321107,149184,941517,23,8
480000,70,294416,201636,992799,14,5
480000,76,357507,213450,1142184,14,10
480000,160,341101,179976,1042538,7,6
960000,100,282455,234268,1038526,216,59
960000,130,514511,288024,1609668,18,2
960000,104,495638,399904,1796092,34,12
960000,290,572201,312294,1773175,190,55
960000,154,243124,125286,739045,56,13
960000,44,262461,179588,886137,24,11
