WHETSTONE,INST_RETIRED,INST_SPEC_EXEC,EXCEPTION_TAKEN,EXCEPTION_RETURN,CID_WRITE_RETIRED,TTBR_WRITE_RETIRED
3000,930394622,950621965,109,0,0,0
3000,930385662,930398445,101,0,0,0
3000,930385662,930398152,101,0,0,0
3000,930385662,930400364,101,0,0,0
3000,930385662,930397234,103,0,0,0
3000,930385662,930396564,101,0,0,0
6000,1848975062,1858221947,203,0,0,0
6000,1848966102,1848985673,197,0,0,0
6000,1848966102,1848988917,197,0,0,0
6000,1848966102,1848985930,197,0,0,0
6000,1848966102,1848985103,195,0,0,0
6000,1848966102,1848985705,195,0,0,0
12000,3653762468,3725536552,411,0,0,0
12000,3653753508,3653793348,385,0,0,0
12000,3653753508,3653791500,383,0,0,0
12000,3653753508,3653823943,759,0,0,0
12000,3653753508,3653843024,959,0,0,0
12000,3653753508,3653796562,423,0,0,0
24000,7074350468,7165373416,749,0,0,0
24000,7074341508,7074405917,735,0,0,0
24000,7074341508,7074405701,731,0,0,0
24000,7074341508,7074411585,733,0,0,0
24000,7074341508,7074407404,735,0,0,0
24000,7074341508,7074409643,731,0,0,0
48000,13915526468,14027891961,1465,0,0,0
48000,13915517508,13915641638,1435,0,0,0
48000,13915517508,13915644280,1443,0,0,0
48000,13915517508,13915646344,1433,0,0,0
48000,13915517508,13915645326,1439,0,0,0
48000,13915517508,13915649689,1441,0,0,0
