WHETSTONE,L1D_INVALIDATE,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,L2D_CACHE_ACCESS,L2D_CACHE_REFILL,L2D_CACHE_WB
3000,128,943,137,24727,1159,364
3000,40,679,78,23363,245,76
3000,130,594,35,23094,229,80
3000,72,716,59,22987,65,24
3000,148,744,60,23109,82,29
3000,100,742,60,23042,137,38
6000,666,1690,127,8541,1270,346
6000,182,1188,74,5772,262,64
6000,252,1341,104,6531,463,111
6000,192,1325,124,6312,215,57
6000,200,1235,80,6266,91,20
6000,206,1117,133,6162,140,59
12000,448,2752,219,8891,1521,418
12000,274,2357,204,5629,479,73
12000,304,2346,206,5537,280,60
12000,396,2416,212,5690,248,53
12000,308,2379,252,5597,295,59
12000,302,2455,202,5621,723,175
24000,608,4590,422,13288,1336,441
24000,676,3892,318,8889,593,106
24000,482,3920,310,8564,483,112
24000,678,3842,428,8435,421,99
24000,646,4020,459,8781,385,80
24000,690,3963,393,8632,439,86
48000,1204,7983,748,42963,1374,410
48000,1372,7060,689,36011,628,168
48000,1320,7020,793,26097,544,130
48000,1442,6645,826,26150,625,145
48000,1294,7293,736,25539,789,140
48000,1310,7033,691,26498,739,153
