WHETSTONE,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
300,24591400,9190808,675,81,2158,822
300,24588160,9188802,373,36,989,435
300,24588231,9188831,401,32,1076,468
300,24588130,9188766,401,32,1013,466
300,24588120,9188801,399,34,1032,472
300,24588140,9188801,408,34,1004,476
5500,448055465,178449564,1343,99,4176,1592
5500,446899887,168091532,925,46,2271,1085
5500,446899704,168091515,958,53,2121,1113
5500,446899687,168091460,938,54,2223,1072
5500,446900088,168091681,908,44,2009,1050
5500,446899809,168091503,959,52,1938,1065
40000,3135496823,1297482868,1477,94,5250,1677
40000,3123562684,1222348431,1112,45,4138,1235
40000,3123563113,1222348428,1104,35,3934,1233
40000,3123563677,1222348526,1046,41,3844,1224
40000,3123563812,1222348754,1046,39,3868,1215
40000,3123564390,1222349343,1100,41,4019,1241
65000,5074329950,2145202825,5870,171,12478,6147
65000,5061362553,2058245874,5182,105,10203,5415
65000,5049273656,1986304224,5248,81,10220,5439
65000,5049273694,1986303944,5203,85,9826,5386
65000,5049272985,1986304059,5253,97,10203,5426
65000,5049273541,1986304512,5222,115,10134,5433
200000,15485306220,6334858351,5862,143,18298,6213
200000,15485307842,6334675888,5387,53,16512,5634
200000,15448102561,6111656939,5371,46,16339,5623
200000,15448102092,6111656307,5419,52,16260,5637
200000,15448105471,6111658413,5387,49,16256,5616
200000,15448105371,6111656879,5376,48,16522,5634
