WHETSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
300,597,28773847,2627,34407509,6540,764
300,377,27070498,455,33777020,1590,202
300,382,27070155,416,33777153,1526,131
300,410,27069676,455,33776898,1624,90
300,367,27069723,395,33776926,1395,75
300,374,27070317,401,33777164,1378,29
5500,1064,522123029,1313,626504539,4943,1147
5500,639,510302406,837,618060803,3022,307
5500,660,489853654,868,614991243,2978,96
5500,721,489854576,827,614991824,3017,116
5500,669,489854022,819,614991611,2937,182
5500,753,489854444,827,614991252,3149,100
40000,3206,3572889802,5873,4424146733,16784,1261
40000,2355,3371088333,5128,4345914384,13749,720
40000,2323,3371087027,5065,4345913695,13463,450
40000,2420,3371089544,5156,4345914975,13708,255
40000,2380,3371086350,5069,4345912954,13611,590
40000,2347,3371085780,5111,4345912688,13548,572
65000,3531,5608525895,5962,7100983746,17783,1317
65000,3072,5438670161,5396,7035579443,15229,614
65000,3025,5438671962,5367,7035581014,15536,428
65000,2997,5438675006,5321,7035582273,15045,441
65000,3262,5438669040,5455,7035578562,16205,738
65000,3391,5438672721,5619,7035580909,16364,733
200000,12979,17846677106,11086,22004920766,38611,1714
200000,9256,16603592534,6796,21559761423,26127,1007
200000,9380,16603594905,6705,21559761497,26092,944
200000,9256,16603592867,6681,21559760552,25282,1130
200000,9348,16603598598,6662,21559763853,25397,761
200000,9405,16603590589,6663,21559758224,25639,908
