CALC-PI,CPU_CYCLES,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_LOAD_STORE,CALC-PI,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_SOFT_PC,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,CALC-PI,INST_SPEC_EXEC_STREX_FAIL,BRANCH_MISPRED,BRANCH_PRED,BRANCH_SPEC_EXEC_IMM_BRANCH,BRANCH_SPEC_EXEC_RET,BRANCH_SPEC_EXEC_IND,CALC-PI,L1D_TLB_REFILL,L1I_TLB_REFILL,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,CALC-PI,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
300000,32744940,48605506,48609783,9600670,17404226,16203279,300000,10802453,5400774,0,9001151,0,0,300000,0,600195,9001087,6600972,1200078,2400115,300000,203,57,197,6,300000,407,16804829,347,16202988,1372,312
300000,32819129,48601506,48602790,9600598,17401083,16200730,300000,10800570,5400168,0,9000267,0,0,300000,0,600066,9003086,6600205,1200033,2402881,300000,75,46,69,6,300000,232,16801324,121,16200657,538,43
300000,32450267,48601506,48602915,9600662,17401083,16200785,300000,10800536,5400134,0,9000261,0,0,300000,0,57,9000287,6600215,1200043,2400072,300000,58,34,52,6,300000,208,16801202,88,16200581,414,3
600000,63197155,97205506,97210014,19200740,34804084,32403505,600000,21602574,10800823,0,18001185,0,0,600000,0,222,18001220,13201094,2400090,4800126,600000,190,51,181,9,600000,482,49192586,395,35000996,1630,339
600000,65625493,97201506,97203429,19200716,34801329,32400928,600000,21600686,10800213,0,18000318,0,0,600000,0,64,18000339,13200264,2400046,4800075,600000,73,35,62,11,600000,257,33601467,90,32400760,533,33
600000,64916782,97201506,97202995,19200682,34801115,32400820,600000,21600613,10800207,0,18000316,0,0,600000,0,60,18000316,13200235,2400042,4800081,600000,62,33,56,6,600000,267,33601480,105,32400745,532,23
1200000,133792624,194405506,213764316,38400858,78676596,71531862,1200000,48958065,22560206,0,36001273,0,0,1200000,0,220,36001317,26401155,4800104,9600162,1200000,206,48,194,12,1200000,648,93015207,422,70263121,2007,486
1200000,130810856,194401506,194403792,38400840,69601361,64801139,1200000,43200866,21600312,0,36000428,0,0,1200000,0,63,36000453,26400346,4800063,9600107,1200000,92,31,86,6,1200000,303,67202089,119,64800993,606,27
1200000,129165283,194401506,194404188,38400918,69601561,64801190,1200000,43200950,21600348,0,36000458,0,0,1200000,0,62,36000417,26400315,4800057,9600102,1200000,87,39,79,8,1200000,283,67202032,123,64800932,567,12
2400000,266596289,388805506,405477643,76801266,146426652,136258657,2400000,89073112,47039030,0,72001425,0,0,2400000,0,1239752,72001404,52801201,9600124,19200203,2400000,283,51,268,15,2400000,637,150312114,493,132383316,2036,406
2400000,259970137,388801506,388805787,76801206,139202162,129601746,2400000,86401265,43200483,0,72000624,0,0,2400000,0,65,72000616,52800478,9600079,19200138,2400000,144,32,136,8,2400000,408,134403204,226,129601383,952,30
2400000,261015957,388801506,388805858,76801208,139202154,129601783,2400000,86401386,43200527,0,72000686,0,0,2400000,0,57,72000624,52800485,9600080,19200139,2400000,124,33,112,12,2400000,366,134402822,207,129601333,837,8
4800000,529520407,777605506,800034544,153601880,288737162,267258687,4800000,177096093,91041821,0,144001773,0,0,4800000,0,229,144001930,105601618,19200180,38400312,4800000,490,57,437,53,4800000,877,276696641,376,262028033,2119,413
4800000,523127682,777601506,777609274,153601930,278403363,259202922,4800000,172802020,86400846,0,144000989,0,0,4800000,0,61,144000957,105600700,19200142,38400257,4800000,171,43,160,11,4800000,713,268805531,143,259202440,1175,65
4800000,522507405,777601506,777609260,153601950,278403352,259202890,4800000,172801977,86400778,0,144000969,0,0,4800000,0,62,144000957,105600726,19200140,38400231,4800000,218,28,204,14,4800000,596,268805229,104,259202282,906,18
